mon	feature_complex	feature	feature_val
arbok	move_suckerpunch	move	suckerpunch
arbok	move_aquatail	move	aquatail
arbok	move_earthquake	move	earthquake
arbok	move_rest	move	rest
arbok	move_gunkshot	move	gunkshot
arbok	move_suckerpunch	move	suckerpunch
arbok	move_aquatail	move	aquatail
arbok	move_crunch	move	crunch
arbok	move_earthquake	move	earthquake
arbok	move_rest	move	rest
arbok	move_rockslide	move	rockslide
arbok	move_protect	move	protect
pichu	move_fakeout	move	fakeout
pichu	move_volttackle	move	volttackle
pichu	move_encore	move	encore
pichu	move_irontail	move	irontail
pichu	move_toxic	move	toxic
pichu	move_thunderbolt	move	thunderbolt
pichu	move_fakeout	move	fakeout
pichu	move_volttackle	move	volttackle
pichu	move_encore	move	encore
pichu	move_irontail	move	irontail
pichu	move_protect	move	protect
pichu	move_thunderbolt	move	thunderbolt
pikachu	move_thunderbolt	move	thunderbolt
pikachu	move_volttackle	move	volttackle
pikachu	move_voltswitch	move	voltswitch
pikachu	move_grassknot	move	grassknot
pikachu	move_hiddenpowerice	move	hiddenpowerice
pikachu	move_brickbreak	move	brickbreak
pikachu	move_extremespeed	move	extremespeed
pikachu	move_encore	move	encore
pikachu	move_substitute	move	substitute
pikachu	move_knockoff	move	knockoff
pikachu	move_fakeout	move	fakeout
pikachu	move_thunderbolt	move	thunderbolt
pikachu	move_volttackle	move	volttackle
pikachu	move_voltswitch	move	voltswitch
pikachu	move_grassknot	move	grassknot
pikachu	move_hiddenpowerice	move	hiddenpowerice
pikachu	move_brickbreak	move	brickbreak
pikachu	move_extremespeed	move	extremespeed
pikachu	move_encore	move	encore
pikachu	move_substitute	move	substitute
pikachu	move_knockoff	move	knockoff
pikachu	move_protect	move	protect
pikachu	move_discharge	move	discharge
raichu	move_nastyplot	move	nastyplot
raichu	move_encore	move	encore
raichu	move_thunderbolt	move	thunderbolt
raichu	move_grassknot	move	grassknot
raichu	move_hiddenpowerice	move	hiddenpowerice
raichu	move_focusblast	move	focusblast
raichu	move_voltswitch	move	voltswitch
raichu	move_fakeout	move	fakeout
raichu	move_encore	move	encore
raichu	move_thunderbolt	move	thunderbolt
raichu	move_grassknot	move	grassknot
raichu	move_hiddenpowerice	move	hiddenpowerice
raichu	move_focusblast	move	focusblast
raichu	move_substitute	move	substitute
raichu	move_extremespeed	move	extremespeed
raichu	move_knockoff	move	knockoff
raichu	move_protect	move	protect
raichualola	move_nastyplot	move	nastyplot
raichualola	move_encore	move	encore
raichualola	move_thunderbolt	move	thunderbolt
raichualola	move_psyshock	move	psyshock
raichualola	move_focusblast	move	focusblast
raichualola	move_voltswitch	move	voltswitch
raichualola	move_hiddenpowerice	move	hiddenpowerice
sandshrew	move_earthquake	move	earthquake
sandshrew	move_rockslide	move	rockslide
sandshrew	move_swordsdance	move	swordsdance
sandshrew	move_rapidspin	move	rapidspin
sandshrew	move_xscissor	move	xscissor
sandshrew	move_stealthrock	move	stealthrock
sandshrew	move_toxic	move	toxic
sandshrew	move_knockoff	move	knockoff
sandshrew	move_earthquake	move	earthquake
sandshrew	move_rockslide	move	rockslide
sandshrew	move_swordsdance	move	swordsdance
sandshrew	move_xscissor	move	xscissor
sandshrew	move_knockoff	move	knockoff
sandshrew	move_protect	move	protect
sandslash	move_earthquake	move	earthquake
sandslash	move_swordsdance	move	swordsdance
sandslash	move_rapidspin	move	rapidspin
sandslash	move_toxic	move	toxic
sandslash	move_stealthrock	move	stealthrock
sandslash	move_knockoff	move	knockoff
sandslash	move_earthquake	move	earthquake
sandslash	move_rockslide	move	rockslide
sandslash	move_stoneedge	move	stoneedge
sandslash	move_swordsdance	move	swordsdance
sandslash	move_xscissor	move	xscissor
sandslash	move_knockoff	move	knockoff
sandslash	move_protect	move	protect
sandslashalola	move_substitute	move	substitute
sandslashalola	move_swordsdance	move	swordsdance
sandslashalola	move_iciclecrash	move	iciclecrash
sandslashalola	move_ironhead	move	ironhead
sandslashalola	move_earthquake	move	earthquake
sandslashalola	move_rapidspin	move	rapidspin
nidoranf	move_toxicspikes	move	toxicspikes
nidoranf	move_crunch	move	crunch
nidoranf	move_poisonjab	move	poisonjab
nidoranf	move_honeclaws	move	honeclaws
nidoranf	move_helpinghand	move	helpinghand
nidoranf	move_crunch	move	crunch
nidoranf	move_poisonjab	move	poisonjab
nidoranf	move_protect	move	protect
nidorina	move_toxicspikes	move	toxicspikes
nidorina	move_crunch	move	crunch
nidorina	move_poisonjab	move	poisonjab
nidorina	move_honeclaws	move	honeclaws
nidorina	move_icebeam	move	icebeam
nidorina	move_thunderbolt	move	thunderbolt
nidorina	move_shadowclaw	move	shadowclaw
nidorina	move_helpinghand	move	helpinghand
nidorina	move_crunch	move	crunch
nidorina	move_poisonjab	move	poisonjab
nidorina	move_protect	move	protect
nidorina	move_icebeam	move	icebeam
nidorina	move_thunderbolt	move	thunderbolt
nidorina	move_shadowclaw	move	shadowclaw
nidoqueen	move_toxicspikes	move	toxicspikes
nidoqueen	move_stealthrock	move	stealthrock
nidoqueen	move_fireblast	move	fireblast
nidoqueen	move_icebeam	move	icebeam
nidoqueen	move_earthpower	move	earthpower
nidoqueen	move_sludgewave	move	sludgewave
nidoqueen	move_protect	move	protect
nidoqueen	move_fireblast	move	fireblast
nidoqueen	move_icebeam	move	icebeam
nidoqueen	move_earthpower	move	earthpower
nidoqueen	move_sludgebomb	move	sludgebomb
nidoranm	move_suckerpunch	move	suckerpunch
nidoranm	move_poisonjab	move	poisonjab
nidoranm	move_headsmash	move	headsmash
nidoranm	move_honeclaws	move	honeclaws
nidoranm	move_shadowclaw	move	shadowclaw
nidoranm	move_suckerpunch	move	suckerpunch
nidoranm	move_poisonjab	move	poisonjab
nidoranm	move_shadowclaw	move	shadowclaw
nidoranm	move_helpinghand	move	helpinghand
nidoranm	move_protect	move	protect
nidorino	move_suckerpunch	move	suckerpunch
nidorino	move_poisonjab	move	poisonjab
nidorino	move_headsmash	move	headsmash
nidorino	move_honeclaws	move	honeclaws
nidorino	move_shadowclaw	move	shadowclaw
nidorino	move_suckerpunch	move	suckerpunch
nidorino	move_poisonjab	move	poisonjab
nidorino	move_shadowclaw	move	shadowclaw
nidorino	move_helpinghand	move	helpinghand
nidorino	move_protect	move	protect
nidoking	move_substitute	move	substitute
nidoking	move_fireblast	move	fireblast
nidoking	move_icebeam	move	icebeam
nidoking	move_earthpower	move	earthpower
nidoking	move_sludgewave	move	sludgewave
nidoking	move_superpower	move	superpower
nidoking	move_protect	move	protect
nidoking	move_fireblast	move	fireblast
nidoking	move_thunderbolt	move	thunderbolt
nidoking	move_icebeam	move	icebeam
nidoking	move_earthpower	move	earthpower
nidoking	move_sludgebomb	move	sludgebomb
nidoking	move_focusblast	move	focusblast
cleffa	move_reflect	move	reflect
cleffa	move_thunderwave	move	thunderwave
cleffa	move_lightscreen	move	lightscreen
cleffa	move_toxic	move	toxic
cleffa	move_fireblast	move	fireblast
cleffa	move_encore	move	encore
cleffa	move_wish	move	wish
cleffa	move_protect	move	protect
cleffa	move_aromatherapy	move	aromatherapy
cleffa	move_reflect	move	reflect
cleffa	move_thunderwave	move	thunderwave
cleffa	move_lightscreen	move	lightscreen
cleffa	move_safeguard	move	safeguard
cleffa	move_fireblast	move	fireblast
cleffa	move_protect	move	protect
clefairy	move_healingwish	move	healingwish
clefairy	move_reflect	move	reflect
clefairy	move_thunderwave	move	thunderwave
clefairy	move_lightscreen	move	lightscreen
clefairy	move_toxic	move	toxic
clefairy	move_fireblast	move	fireblast
clefairy	move_encore	move	encore
clefairy	move_wish	move	wish
clefairy	move_protect	move	protect
clefairy	move_aromatherapy	move	aromatherapy
clefairy	move_stealthrock	move	stealthrock
clefairy	move_moonblast	move	moonblast
clefairy	move_knockoff	move	knockoff
clefairy	move_moonlight	move	moonlight
clefairy	move_reflect	move	reflect
clefairy	move_thunderwave	move	thunderwave
clefairy	move_lightscreen	move	lightscreen
clefairy	move_safeguard	move	safeguard
clefairy	move_fireblast	move	fireblast
clefairy	move_followme	move	followme
clefairy	move_protect	move	protect
clefairy	move_moonblast	move	moonblast
clefable	move_calmmind	move	calmmind
clefable	move_softboiled	move	softboiled
clefable	move_fireblast	move	fireblast
clefable	move_moonblast	move	moonblast
clefable	move_stealthrock	move	stealthrock
clefable	move_thunderwave	move	thunderwave
clefable	move_reflect	move	reflect
clefable	move_thunderwave	move	thunderwave
clefable	move_lightscreen	move	lightscreen
clefable	move_safeguard	move	safeguard
clefable	move_fireblast	move	fireblast
clefable	move_followme	move	followme
clefable	move_protect	move	protect
clefable	move_moonblast	move	moonblast
clefable	move_dazzlinggleam	move	dazzlinggleam
clefable	move_softboiled	move	softboiled
vulpix	move_flamethrower	move	flamethrower
vulpix	move_fireblast	move	fireblast
vulpix	move_willowisp	move	willowisp
vulpix	move_energyball	move	energyball
vulpix	move_substitute	move	substitute
vulpix	move_toxic	move	toxic
vulpix	move_hypnosis	move	hypnosis
vulpix	move_painsplit	move	painsplit
vulpix	move_heatwave	move	heatwave
vulpix	move_fireblast	move	fireblast
vulpix	move_willowisp	move	willowisp
vulpix	move_energyball	move	energyball
vulpix	move_substitute	move	substitute
vulpix	move_protect	move	protect
ninetales	move_fireblast	move	fireblast
ninetales	move_willowisp	move	willowisp
ninetales	move_solarbeam	move	solarbeam
ninetales	move_nastyplot	move	nastyplot
ninetales	move_substitute	move	substitute
ninetales	move_hiddenpowerice	move	hiddenpowerice
ninetales	move_heatwave	move	heatwave
ninetales	move_fireblast	move	fireblast
ninetales	move_willowisp	move	willowisp
ninetales	move_solarbeam	move	solarbeam
ninetales	move_substitute	move	substitute
ninetales	move_protect	move	protect
ninetalesalola	move_nastyplot	move	nastyplot
ninetalesalola	move_blizzard	move	blizzard
ninetalesalola	move_moonblast	move	moonblast
ninetalesalola	move_substitute	move	substitute
ninetalesalola	move_hiddenpowerfire	move	hiddenpowerfire
igglybuff	move_wish	move	wish
igglybuff	move_thunderwave	move	thunderwave
igglybuff	move_reflect	move	reflect
igglybuff	move_lightscreen	move	lightscreen
igglybuff	move_healbell	move	healbell
igglybuff	move_seismictoss	move	seismictoss
igglybuff	move_counter	move	counter
igglybuff	move_protect	move	protect
igglybuff	move_wish	move	wish
igglybuff	move_thunderwave	move	thunderwave
igglybuff	move_reflect	move	reflect
igglybuff	move_lightscreen	move	lightscreen
igglybuff	move_seismictoss	move	seismictoss
igglybuff	move_protect	move	protect
jigglypuff	move_wish	move	wish
jigglypuff	move_thunderwave	move	thunderwave
jigglypuff	move_reflect	move	reflect
jigglypuff	move_lightscreen	move	lightscreen
jigglypuff	move_healbell	move	healbell
jigglypuff	move_seismictoss	move	seismictoss
jigglypuff	move_counter	move	counter
jigglypuff	move_stealthrock	move	stealthrock
jigglypuff	move_protect	move	protect
jigglypuff	move_knockoff	move	knockoff
jigglypuff	move_dazzlinggleam	move	dazzlinggleam
jigglypuff	move_wish	move	wish
jigglypuff	move_thunderwave	move	thunderwave
jigglypuff	move_reflect	move	reflect
jigglypuff	move_lightscreen	move	lightscreen
jigglypuff	move_seismictoss	move	seismictoss
jigglypuff	move_protect	move	protect
jigglypuff	move_knockoff	move	knockoff
jigglypuff	move_dazzlinggleam	move	dazzlinggleam
wigglytuff	move_wish	move	wish
wigglytuff	move_protect	move	protect
wigglytuff	move_fireblast	move	fireblast
wigglytuff	move_stealthrock	move	stealthrock
wigglytuff	move_dazzlinggleam	move	dazzlinggleam
wigglytuff	move_hypervoice	move	hypervoice
wigglytuff	move_thunderwave	move	thunderwave
wigglytuff	move_reflect	move	reflect
wigglytuff	move_lightscreen	move	lightscreen
wigglytuff	move_protect	move	protect
wigglytuff	move_knockoff	move	knockoff
wigglytuff	move_dazzlinggleam	move	dazzlinggleam
wigglytuff	move_fireblast	move	fireblast
wigglytuff	move_icebeam	move	icebeam
wigglytuff	move_hypervoice	move	hypervoice
zubat	move_bravebird	move	bravebird
zubat	move_roost	move	roost
zubat	move_toxic	move	toxic
zubat	move_taunt	move	taunt
zubat	move_nastyplot	move	nastyplot
zubat	move_gigadrain	move	gigadrain
zubat	move_sludgebomb	move	sludgebomb
zubat	move_airslash	move	airslash
zubat	move_uturn	move	uturn
zubat	move_whirlwind	move	whirlwind
zubat	move_heatwave	move	heatwave
zubat	move_superfang	move	superfang
zubat	move_bravebird	move	bravebird
zubat	move_taunt	move	taunt
zubat	move_nastyplot	move	nastyplot
zubat	move_gigadrain	move	gigadrain
zubat	move_sludgebomb	move	sludgebomb
zubat	move_airslash	move	airslash
zubat	move_uturn	move	uturn
zubat	move_protect	move	protect
zubat	move_heatwave	move	heatwave
zubat	move_superfang	move	superfang
golbat	move_bravebird	move	bravebird
golbat	move_roost	move	roost
golbat	move_toxic	move	toxic
golbat	move_taunt	move	taunt
golbat	move_defog	move	defog
golbat	move_superfang	move	superfang
golbat	move_uturn	move	uturn
golbat	move_bravebird	move	bravebird
golbat	move_taunt	move	taunt
golbat	move_nastyplot	move	nastyplot
golbat	move_gigadrain	move	gigadrain
golbat	move_sludgebomb	move	sludgebomb
golbat	move_airslash	move	airslash
golbat	move_uturn	move	uturn
golbat	move_protect	move	protect
golbat	move_heatwave	move	heatwave
golbat	move_superfang	move	superfang
crobat	move_bravebird	move	bravebird
crobat	move_roost	move	roost
crobat	move_toxic	move	toxic
crobat	move_taunt	move	taunt
crobat	move_defog	move	defog
crobat	move_uturn	move	uturn
