mon	feature	feature_val
caterpie	abilities	Run Away
caterpie	eggGroups	Bug
metapod	types	Bug
metapod	abilities	Shed Skin
metapod	eggGroups	Bug
butterfree	types	Bug
butterfree	types	Flying
butterfree	abilities	Compound Eyes
butterfree	abilities	Tinted Lens
butterfree	eggGroups	Bug
weedle	types	Bug
weedle	types	Poison
weedle	abilities	Shield Dust
weedle	abilities	Run Away
weedle	eggGroups	Bug
kakuna	types	Bug
kakuna	types	Poison
kakuna	abilities	Shed Skin
kakuna	eggGroups	Bug
beedrill	types	Bug
beedrill	types	Poison
beedrill	abilities	Swarm
beedrill	abilities	Sniper
beedrill	eggGroups	Bug
beedrillmega	types	Bug
beedrillmega	types	Poison
beedrillmega	abilities	Adaptability
beedrillmega	eggGroups	Bug
pidgey	types	Normal
pidgey	types	Flying
pidgey	abilities	Keen Eye
pidgey	abilities	Tangled Feet
pidgey	abilities	Big Pecks
pidgey	eggGroups	Flying
pidgeotto	types	Normal
pidgeotto	types	Flying
pidgeotto	abilities	Keen Eye
pidgeotto	abilities	Tangled Feet
pidgeotto	abilities	Big Pecks
pidgeotto	eggGroups	Flying
pidgeot	types	Normal
pidgeot	types	Flying
pidgeot	abilities	Keen Eye
pidgeot	abilities	Tangled Feet
pidgeot	abilities	Big Pecks
pidgeot	eggGroups	Flying
pidgeotmega	types	Normal
pidgeotmega	types	Flying
pidgeotmega	abilities	No Guard
pidgeotmega	eggGroups	Flying
rattata	types	Normal
rattata	abilities	Run Away
rattata	abilities	Guts
rattata	abilities	Hustle
rattata	eggGroups	Field
rattataalola	types	Dark
rattataalola	types	Normal
rattataalola	abilities	Gluttony
rattataalola	abilities	Hustle
rattataalola	abilities	Thick Fat
rattataalola	eggGroups	Field
raticate	types	Normal
raticate	abilities	Run Away
raticate	abilities	Guts
raticate	abilities	Hustle
raticate	eggGroups	Field
raticatealola	types	Dark
raticatealola	types	Normal
raticatealola	abilities	Gluttony
raticatealola	abilities	Hustle
raticatealola	abilities	Thick Fat
raticatealola	eggGroups	Field
raticatealolatotem	types	Dark
raticatealolatotem	types	Normal
raticatealolatotem	abilities	Thick Fat
raticatealolatotem	eggGroups	Field
spearow	types	Normal
spearow	types	Flying
spearow	abilities	Keen Eye
spearow	abilities	Sniper
spearow	eggGroups	Flying
fearow	types	Normal
fearow	types	Flying
fearow	abilities	Keen Eye
fearow	abilities	Sniper
fearow	eggGroups	Flying
ekans	types	Poison
ekans	abilities	Intimidate
ekans	abilities	Shed Skin
ekans	abilities	Unnerve
ekans	eggGroups	Field
ekans	eggGroups	Dragon
arbok	types	Poison
arbok	abilities	Intimidate
arbok	abilities	Shed Skin
arbok	abilities	Unnerve
arbok	eggGroups	Field
arbok	eggGroups	Dragon
pikachu	types	Electric
pikachu	abilities	Static
pikachu	abilities	Lightning Rod
pikachu	eggGroups	Field
pikachu	eggGroups	Fairy
pikachucosplay	types	Electric
pikachucosplay	abilities	Lightning Rod
pikachucosplay	eggGroups	Undiscovered
pikachurockstar	types	Electric
pikachurockstar	abilities	Lightning Rod
pikachurockstar	eggGroups	Undiscovered
pikachubelle	types	Electric
pikachubelle	abilities	Lightning Rod
pikachubelle	eggGroups	Undiscovered
pikachupopstar	types	Electric
pikachupopstar	abilities	Lightning Rod
pikachupopstar	eggGroups	Undiscovered
pikachuphd	types	Electric
pikachuphd	abilities	Lightning Rod
pikachuphd	eggGroups	Undiscovered
pikachulibre	types	Electric
pikachulibre	abilities	Lightning Rod
pikachulibre	eggGroups	Undiscovered
pikachuoriginal	types	Electric
pikachuoriginal	abilities	Static
pikachuoriginal	eggGroups	Undiscovered
pikachuhoenn	types	Electric
pikachuhoenn	abilities	Static
pikachuhoenn	eggGroups	Undiscovered
pikachusinnoh	types	Electric
pikachusinnoh	abilities	Static
pikachusinnoh	eggGroups	Undiscovered
pikachuunova	types	Electric
pikachuunova	abilities	Static
pikachuunova	eggGroups	Undiscovered
pikachukalos	types	Electric
pikachukalos	abilities	Static
pikachukalos	eggGroups	Undiscovered
pikachualola	types	Electric
pikachualola	abilities	Static
pikachualola	eggGroups	Undiscovered
pikachupartner	types	Electric
pikachupartner	abilities	Static
pikachupartner	eggGroups	Undiscovered
pikachustarter	types	Electric
pikachustarter	abilities	Static
pikachustarter	abilities	Lightning Rod
pikachustarter	eggGroups	Undiscovered
raichu	types	Electric
raichu	abilities	Static
raichu	abilities	Lightning Rod
raichu	eggGroups	Field
raichu	eggGroups	Fairy
raichualola	types	Electric
raichualola	types	Psychic
raichualola	abilities	Surge Surfer
raichualola	eggGroups	Field
raichualola	eggGroups	Fairy
sandshrew	types	Ground
sandshrew	abilities	Sand Veil
sandshrew	abilities	Sand Rush
sandshrew	eggGroups	Field
sandshrewalola	types	Ice
sandshrewalola	types	Steel
sandshrewalola	abilities	Snow Cloak
sandshrewalola	abilities	Slush Rush
sandshrewalola	eggGroups	Field
sandslash	types	Ground
sandslash	abilities	Sand Veil
sandslash	abilities	Sand Rush
sandslash	eggGroups	Field
sandslashalola	types	Ice
sandslashalola	types	Steel
sandslashalola	abilities	Snow Cloak
sandslashalola	abilities	Slush Rush
sandslashalola	eggGroups	Field
nidoranf	types	Poison
nidoranf	abilities	Poison Point
nidoranf	abilities	Rivalry
nidoranf	abilities	Hustle
nidoranf	eggGroups	Monster
nidoranf	eggGroups	Field
nidorina	types	Poison
nidorina	abilities	Poison Point
nidorina	abilities	Rivalry
nidorina	abilities	Hustle
nidorina	eggGroups	Undiscovered
nidoqueen	types	Poison
nidoqueen	types	Ground
nidoqueen	abilities	Poison Point
nidoqueen	abilities	Rivalry
nidoqueen	abilities	Sheer Force
nidoqueen	eggGroups	Undiscovered
nidoranm	types	Poison
nidoranm	abilities	Poison Point
nidoranm	abilities	Rivalry
nidoranm	abilities	Hustle
nidoranm	eggGroups	Monster
nidoranm	eggGroups	Field
nidorino	types	Poison
nidorino	abilities	Poison Point
nidorino	abilities	Rivalry
nidorino	abilities	Hustle
nidorino	eggGroups	Monster
nidorino	eggGroups	Field
nidoking	types	Poison
nidoking	types	Ground
nidoking	abilities	Poison Point
nidoking	abilities	Rivalry
nidoking	abilities	Sheer Force
nidoking	eggGroups	Monster
nidoking	eggGroups	Field
clefairy	types	Fairy
clefairy	abilities	Cute Charm
clefairy	abilities	Magic Guard
clefairy	abilities	Friend Guard
clefairy	eggGroups	Fairy
clefable	types	Fairy
clefable	abilities	Cute Charm
clefable	abilities	Magic Guard
clefable	abilities	Unaware
clefable	eggGroups	Fairy
vulpix	types	Fire
vulpix	abilities	Flash Fire
vulpix	abilities	Drought
vulpix	eggGroups	Field
vulpixalola	types	Ice
vulpixalola	abilities	Snow Cloak
vulpixalola	abilities	Snow Warning
vulpixalola	eggGroups	Field
ninetales	types	Fire
ninetales	abilities	Flash Fire
ninetales	abilities	Drought
ninetales	eggGroups	Field
ninetalesalola	types	Ice
ninetalesalola	types	Fairy
ninetalesalola	abilities	Snow Cloak
ninetalesalola	abilities	Snow Warning
ninetalesalola	eggGroups	Field
jigglypuff	types	Normal
jigglypuff	types	Fairy
jigglypuff	abilities	Cute Charm
jigglypuff	abilities	Competitive
jigglypuff	abilities	Friend Guard
jigglypuff	eggGroups	Fairy
wigglytuff	types	Normal
wigglytuff	types	Fairy
wigglytuff	abilities	Cute Charm
wigglytuff	abilities	Competitive
wigglytuff	abilities	Frisk
wigglytuff	eggGroups	Fairy
zubat	types	Poison
zubat	types	Flying
zubat	abilities	Inner Focus
zubat	abilities	Infiltrator
zubat	eggGroups	Flying
golbat	types	Poison
golbat	types	Flying
golbat	abilities	Inner Focus
golbat	abilities	Infiltrator
golbat	eggGroups	Flying
oddish	types	Grass
oddish	types	Poison
oddish	abilities	Chlorophyll
oddish	abilities	Run Away
oddish	eggGroups	Grass
gloom	types	Grass
gloom	types	Poison
gloom	abilities	Chlorophyll
gloom	abilities	Stench
gloom	eggGroups	Grass
vileplume	types	Grass
vileplume	types	Poison
vileplume	abilities	Chlorophyll
vileplume	abilities	Effect Spore
vileplume	eggGroups	Grass
paras	types	Bug
paras	types	Grass
paras	abilities	Effect Spore
paras	abilities	Dry Skin
paras	abilities	Damp
paras	eggGroups	Bug
paras	eggGroups	Grass
parasect	types	Bug
parasect	types	Grass
parasect	abilities	Effect Spore
parasect	abilities	Dry Skin
parasect	abilities	Damp
parasect	eggGroups	Bug
parasect	eggGroups	Grass
venonat	types	Bug
venonat	types	Poison
venonat	abilities	Compound Eyes
venonat	abilities	Tinted Lens
venonat	abilities	Run Away
venonat	eggGroups	Bug
venomoth	types	Bug
venomoth	types	Poison
venomoth	abilities	Shield Dust
venomoth	abilities	Tinted Lens
venomoth	abilities	Wonder Skin
venomoth	eggGroups	Bug
diglett	types	Ground
diglett	abilities	Sand Veil
diglett	abilities	Arena Trap
diglett	abilities	Sand Force
diglett	eggGroups	Field
diglettalola	types	Ground
diglettalola	types	Steel
diglettalola	abilities	Sand Veil
diglettalola	abilities	Tangling Hair
diglettalola	abilities	Sand Force
diglettalola	eggGroups	Field
dugtrio	types	Ground
dugtrio	abilities	Sand Veil
dugtrio	abilities	Arena Trap
dugtrio	abilities	Sand Force
dugtrio	eggGroups	Field
dugtrioalola	types	Ground
dugtrioalola	types	Steel
dugtrioalola	abilities	Sand Veil
dugtrioalola	abilities	Tangling Hair
dugtrioalola	abilities	Sand Force
dugtrioalola	eggGroups	Field
meowth	types	Normal
meowth	abilities	Pickup
meowth	abilities	Technician
meowth	abilities	Unnerve
meowth	eggGroups	Field
meowthalola	types	Dark
meowthalola	abilities	Pickup
meowthalola	abilities	Technician
meowthalola	abilities	Rattled
meowthalola	eggGroups	Field
persian	types	Normal
persian	abilities	Limber
persian	abilities	Technician
persian	abilities	Unnerve
persian	eggGroups	Field
persianalola	types	Dark
persianalola	abilities	Fur Coat
persianalola	abilities	Technician
persianalola	abilities	Rattled
persianalola	eggGroups	Field
psyduck	types	Water
psyduck	abilities	Damp
psyduck	abilities	Cloud Nine
psyduck	abilities	Swift Swim
psyduck	eggGroups	Water 1
psyduck	eggGroups	Field
golduck	types	Water
golduck	abilities	Damp
golduck	abilities	Cloud Nine
golduck	abilities	Swift Swim
golduck	eggGroups	Water 1
golduck	eggGroups	Field
mankey	types	Fighting
mankey	abilities	Vital Spirit
mankey	abilities	Anger Point
mankey	abilities	Defiant
mankey	eggGroups	Field
primeape	types	Fighting
primeape	abilities	Vital Spirit
primeape	abilities	Anger Point
primeape	abilities	Defiant
primeape	eggGroups	Field
growlithe	types	Fire
growlithe	abilities	Intimidate
growlithe	abilities	Flash Fire
growlithe	abilities	Justified
growlithe	eggGroups	Field
arcanine	types	Fire
arcanine	abilities	Intimidate
arcanine	abilities	Flash Fire
arcanine	abilities	Justified
arcanine	eggGroups	Field
poliwag	types	Water
poliwag	abilities	Water Absorb
poliwag	abilities	Damp
poliwag	abilities	Swift Swim
poliwag	eggGroups	Water 1
poliwhirl	types	Water
poliwhirl	abilities	Water Absorb
poliwhirl	abilities	Damp
poliwhirl	abilities	Swift Swim
poliwhirl	eggGroups	Water 1
poliwrath	types	Water
poliwrath	types	Fighting
poliwrath	abilities	Water Absorb
poliwrath	abilities	Damp
poliwrath	abilities	Swift Swim
poliwrath	eggGroups	Water 1
abra	types	Psychic
abra	abilities	Synchronize
abra	abilities	Inner Focus
abra	abilities	Magic Guard
abra	eggGroups	Human-Like
kadabra	types	Psychic
kadabra	abilities	Synchronize
kadabra	abilities	Inner Focus
kadabra	abilities	Magic Guard
kadabra	eggGroups	Human-Like
alakazam	types	Psychic
alakazam	abilities	Synchronize
alakazam	abilities	Inner Focus
alakazam	abilities	Magic Guard
alakazam	eggGroups	Human-Like
alakazammega	types	Psychic
alakazammega	abilities	Trace
alakazammega	eggGroups	Human-Like
machop	types	Fighting
machop	abilities	Guts
machop	abilities	No Guard
machop	abilities	Steadfast
machop	eggGroups	Human-Like
machoke	types	Fighting
machoke	abilities	Guts
machoke	abilities	No Guard
machoke	abilities	Steadfast
machoke	eggGroups	Human-Like
machamp	types	Fighting
machamp	abilities	Guts
machamp	abilities	No Guard
machamp	abilities	Steadfast
machamp	eggGroups	Human-Like
bellsprout	types	Grass
bellsprout	types	Poison
bellsprout	abilities	Chlorophyll
bellsprout	abilities	Gluttony
bellsprout	eggGroups	Grass
weepinbell	types	Grass
weepinbell	types	Poison
weepinbell	abilities	Chlorophyll
weepinbell	abilities	Gluttony
weepinbell	eggGroups	Grass
victreebel	types	Grass
victreebel	types	Poison
victreebel	abilities	Chlorophyll
victreebel	abilities	Gluttony
victreebel	eggGroups	Grass
tentacool	types	Water
tentacool	types	Poison
tentacool	abilities	Clear Body
tentacool	abilities	Liquid Ooze
tentacool	abilities	Rain Dish
tentacool	eggGroups	Water 3
tentacruel	types	Water
tentacruel	types	Poison
tentacruel	abilities	Clear Body
tentacruel	abilities	Liquid Ooze
tentacruel	abilities	Rain Dish
tentacruel	eggGroups	Water 3
geodude	types	Rock
geodude	types	Ground
geodude	abilities	Rock Head
geodude	abilities	Sturdy
geodude	abilities	Sand Veil
geodude	eggGroups	Mineral
geodudealola	types	Rock
geodudealola	types	Electric
geodudealola	abilities	Magnet Pull
geodudealola	abilities	Sturdy
geodudealola	abilities	Galvanize
geodudealola	eggGroups	Mineral
graveler	types	Rock
graveler	types	Ground
graveler	abilities	Rock Head
graveler	abilities	Sturdy
graveler	abilities	Sand Veil
graveler	eggGroups	Mineral
graveleralola	types	Rock
graveleralola	types	Electric
graveleralola	abilities	Magnet Pull
graveleralola	abilities	Sturdy
graveleralola	abilities	Galvanize
graveleralola	eggGroups	Mineral
golem	types	Rock
golem	types	Ground
golem	abilities	Rock Head
golem	abilities	Sturdy
golem	abilities	Sand Veil
golem	eggGroups	Mineral
golemalola	types	Rock
golemalola	types	Electric
golemalola	abilities	Magnet Pull
golemalola	abilities	Sturdy
golemalola	abilities	Galvanize
golemalola	eggGroups	Mineral
ponyta	types	Fire
ponyta	abilities	Run Away
ponyta	abilities	Flash Fire
ponyta	abilities	Flame Body
ponyta	eggGroups	Field
rapidash	types	Fire
rapidash	abilities	Run Away
rapidash	abilities	Flash Fire
rapidash	abilities	Flame Body
rapidash	eggGroups	Field
slowpoke	types	Water
slowpoke	types	Psychic
slowpoke	abilities	Oblivious
slowpoke	abilities	Own Tempo
slowpoke	abilities	Regenerator
slowpoke	eggGroups	Monster
slowpoke	eggGroups	Water 1
slowbro	types	Water
slowbro	types	Psychic
slowbro	abilities	Oblivious
slowbro	abilities	Own Tempo
slowbro	abilities	Regenerator
slowbro	eggGroups	Monster
slowbro	eggGroups	Water 1
slowbromega	types	Water
slowbromega	types	Psychic
slowbromega	abilities	Shell Armor
slowbromega	eggGroups	Monster
slowbromega	eggGroups	Water 1
magnemite	types	Electric
magnemite	types	Steel
magnemite	abilities	Magnet Pull
magnemite	abilities	Sturdy
magnemite	abilities	Analytic
magnemite	eggGroups	Mineral
magneton	types	Electric
magneton	types	Steel
magneton	abilities	Magnet Pull
magneton	abilities	Sturdy
magneton	abilities	Analytic
magneton	eggGroups	Mineral
farfetchd	types	Normal
farfetchd	types	Flying
farfetchd	abilities	Keen Eye
farfetchd	abilities	Inner Focus
farfetchd	abilities	Defiant
farfetchd	eggGroups	Flying
farfetchd	eggGroups	Field
doduo	types	Normal
doduo	types	Flying
doduo	abilities	Run Away
doduo	abilities	Early Bird
doduo	abilities	Tangled Feet
doduo	eggGroups	Flying
dodrio	types	Normal
dodrio	types	Flying
dodrio	abilities	Run Away
dodrio	abilities	Early Bird
dodrio	abilities	Tangled Feet
dodrio	eggGroups	Flying
seel	types	Water
seel	abilities	Thick Fat
seel	abilities	Hydration
seel	abilities	Ice Body
seel	eggGroups	Water 1
seel	eggGroups	Field
dewgong	types	Water
dewgong	types	Ice
dewgong	abilities	Thick Fat
dewgong	abilities	Hydration
dewgong	abilities	Ice Body
dewgong	eggGroups	Water 1
dewgong	eggGroups	Field
grimer	types	Poison
grimer	abilities	Stench
grimer	abilities	Sticky Hold
grimer	abilities	Poison Touch
grimer	eggGroups	Amorphous
grimeralola	types	Poison
grimeralola	types	Dark
grimeralola	abilities	Poison Touch
grimeralola	abilities	Gluttony
grimeralola	abilities	Power of Alchemy
grimeralola	eggGroups	Amorphous
muk	types	Poison
muk	abilities	Stench
muk	abilities	Sticky Hold
muk	abilities	Poison Touch
muk	eggGroups	Amorphous
mukalola	types	Poison
mukalola	types	Dark
mukalola	abilities	Poison Touch
mukalola	abilities	Gluttony
mukalola	abilities	Power of Alchemy
mukalola	eggGroups	Amorphous
shellder	types	Water
shellder	abilities	Shell Armor
shellder	abilities	Skill Link
shellder	abilities	Overcoat
shellder	eggGroups	Water 3
cloyster	types	Water
cloyster	types	Ice
cloyster	abilities	Shell Armor
cloyster	abilities	Skill Link
cloyster	abilities	Overcoat
cloyster	eggGroups	Water 3
gastly	types	Ghost
gastly	types	Poison
gastly	abilities	Levitate
gastly	eggGroups	Amorphous
haunter	types	Ghost
haunter	types	Poison
haunter	abilities	Levitate
haunter	eggGroups	Amorphous
gengar	types	Ghost
gengar	types	Poison
gengar	abilities	Cursed Body
gengar	eggGroups	Amorphous
gengarmega	types	Ghost
gengarmega	types	Poison
gengarmega	abilities	Shadow Tag
gengarmega	eggGroups	Amorphous
onix	types	Rock
onix	types	Ground
onix	abilities	Rock Head
onix	abilities	Sturdy
onix	abilities	Weak Armor
onix	eggGroups	Mineral
drowzee	types	Psychic
drowzee	abilities	Insomnia
drowzee	abilities	Forewarn
drowzee	abilities	Inner Focus
drowzee	eggGroups	Human-Like
hypno	types	Psychic
hypno	abilities	Insomnia
hypno	abilities	Forewarn
hypno	abilities	Inner Focus
hypno	eggGroups	Human-Like
krabby	types	Water
krabby	abilities	Hyper Cutter
krabby	abilities	Shell Armor
krabby	abilities	Sheer Force
krabby	eggGroups	Water 3
kingler	types	Water
kingler	abilities	Hyper Cutter
kingler	abilities	Shell Armor
kingler	abilities	Sheer Force
kingler	eggGroups	Water 3
voltorb	types	Electric
voltorb	abilities	Soundproof
voltorb	abilities	Static
voltorb	abilities	Aftermath
voltorb	eggGroups	Mineral
electrode	types	Electric
electrode	abilities	Soundproof
electrode	abilities	Static
electrode	abilities	Aftermath
electrode	eggGroups	Mineral
exeggcute	types	Grass
exeggcute	types	Psychic
exeggcute	abilities	Chlorophyll
exeggcute	abilities	Harvest
exeggcute	eggGroups	Grass
exeggutor	types	Grass
exeggutor	types	Psychic
exeggutor	abilities	Chlorophyll
exeggutor	abilities	Harvest
exeggutor	eggGroups	Grass
exeggutoralola	types	Grass
exeggutoralola	types	Dragon
exeggutoralola	abilities	Frisk
exeggutoralola	abilities	Harvest
exeggutoralola	eggGroups	Grass
cubone	types	Ground
cubone	abilities	Rock Head
cubone	abilities	Lightning Rod
cubone	abilities	Battle Armor
cubone	eggGroups	Monster
marowak	types	Ground
marowak	abilities	Rock Head
marowak	abilities	Lightning Rod
marowak	abilities	Battle Armor
marowak	eggGroups	Monster
marowakalola	types	Fire
marowakalola	types	Ghost
marowakalola	abilities	Cursed Body
marowakalola	abilities	Lightning Rod
marowakalola	abilities	Rock Head
marowakalola	eggGroups	Monster
marowakalolatotem	types	Fire
marowakalolatotem	types	Ghost
marowakalolatotem	abilities	Rock Head
marowakalolatotem	eggGroups	Monster
hitmonlee	types	Fighting
hitmonlee	abilities	Limber
hitmonlee	abilities	Reckless
hitmonlee	abilities	Unburden
hitmonlee	eggGroups	Human-Like
hitmonchan	types	Fighting
hitmonchan	abilities	Keen Eye
hitmonchan	abilities	Iron Fist
hitmonchan	abilities	Inner Focus
hitmonchan	eggGroups	Human-Like
lickitung	types	Normal
lickitung	abilities	Own Tempo
lickitung	abilities	Oblivious
lickitung	abilities	Cloud Nine
lickitung	eggGroups	Monster
koffing	types	Poison
koffing	abilities	Levitate
koffing	eggGroups	Amorphous
weezing	types	Poison
weezing	abilities	Levitate
weezing	eggGroups	Amorphous
rhyhorn	types	Ground
rhyhorn	types	Rock
rhyhorn	abilities	Lightning Rod
rhyhorn	abilities	Rock Head
rhyhorn	abilities	Reckless
rhyhorn	eggGroups	Monster
rhyhorn	eggGroups	Field
rhydon	types	Ground
rhydon	types	Rock
rhydon	abilities	Lightning Rod
rhydon	abilities	Rock Head
rhydon	abilities	Reckless
rhydon	eggGroups	Monster
rhydon	eggGroups	Field
chansey	types	Normal
chansey	abilities	Natural Cure
chansey	abilities	Serene Grace
chansey	abilities	Healer
chansey	eggGroups	Fairy
tangela	types	Grass
tangela	abilities	Chlorophyll
tangela	abilities	Leaf Guard
tangela	abilities	Regenerator
tangela	eggGroups	Grass
kangaskhan	types	Normal
kangaskhan	abilities	Early Bird
kangaskhan	abilities	Scrappy
kangaskhan	abilities	Inner Focus
kangaskhan	eggGroups	Monster
kangaskhanmega	types	Normal
kangaskhanmega	abilities	Parental Bond
kangaskhanmega	eggGroups	Monster
horsea	types	Water
horsea	abilities	Swift Swim
horsea	abilities	Sniper
horsea	abilities	Damp
horsea	eggGroups	Water 1
horsea	eggGroups	Dragon
seadra	types	Water
seadra	abilities	Poison Point
seadra	abilities	Sniper
seadra	abilities	Damp
seadra	eggGroups	Water 1
seadra	eggGroups	Dragon
goldeen	types	Water
goldeen	abilities	Swift Swim
goldeen	abilities	Water Veil
goldeen	abilities	Lightning Rod
goldeen	eggGroups	Water 2
seaking	types	Water
seaking	abilities	Swift Swim
seaking	abilities	Water Veil
seaking	abilities	Lightning Rod
seaking	eggGroups	Water 2
staryu	types	Water
staryu	abilities	Illuminate
staryu	abilities	Natural Cure
staryu	abilities	Analytic
staryu	eggGroups	Water 3
starmie	types	Water
starmie	types	Psychic
starmie	abilities	Illuminate
starmie	abilities	Natural Cure
starmie	abilities	Analytic
starmie	eggGroups	Water 3
mrmime	types	Psychic
mrmime	types	Fairy
mrmime	abilities	Soundproof
mrmime	abilities	Filter
mrmime	abilities	Technician
mrmime	eggGroups	Human-Like
scyther	types	Bug
scyther	types	Flying
scyther	abilities	Swarm
scyther	abilities	Technician
scyther	abilities	Steadfast
scyther	eggGroups	Bug
jynx	types	Ice
jynx	types	Psychic
jynx	abilities	Oblivious
jynx	abilities	Forewarn
jynx	abilities	Dry Skin
jynx	eggGroups	Human-Like
electabuzz	types	Electric
electabuzz	abilities	Static
electabuzz	abilities	Vital Spirit
electabuzz	eggGroups	Human-Like
magmar	types	Fire
magmar	abilities	Flame Body
magmar	abilities	Vital Spirit
magmar	eggGroups	Human-Like
pinsir	types	Bug
pinsir	abilities	Hyper Cutter
pinsir	abilities	Mold Breaker
pinsir	abilities	Moxie
pinsir	eggGroups	Bug
pinsirmega	types	Bug
pinsirmega	types	Flying
pinsirmega	abilities	Aerilate
pinsirmega	eggGroups	Bug
tauros	types	Normal
tauros	abilities	Intimidate
tauros	abilities	Anger Point
tauros	abilities	Sheer Force
tauros	eggGroups	Field
magikarp	types	Water
magikarp	abilities	Swift Swim
magikarp	abilities	Rattled
magikarp	eggGroups	Water 2
magikarp	eggGroups	Dragon
gyarados	types	Water
gyarados	types	Flying
gyarados	abilities	Intimidate
gyarados	abilities	Moxie
gyarados	eggGroups	Water 2
gyarados	eggGroups	Dragon
gyaradosmega	types	Water
gyaradosmega	types	Dark
gyaradosmega	abilities	Mold Breaker
gyaradosmega	eggGroups	Water 2
gyaradosmega	eggGroups	Dragon
lapras	types	Water
lapras	types	Ice
lapras	abilities	Water Absorb
lapras	abilities	Shell Armor
lapras	abilities	Hydration
lapras	eggGroups	Monster
lapras	eggGroups	Water 1
ditto	types	Normal
ditto	abilities	Limber
ditto	abilities	Imposter
ditto	eggGroups	Ditto
eevee	types	Normal
eevee	abilities	Run Away
eevee	abilities	Adaptability
eevee	abilities	Anticipation
eevee	eggGroups	Field
eeveestarter	types	Normal
eeveestarter	abilities	Run Away
eeveestarter	abilities	Adaptability
eeveestarter	abilities	Anticipation
eeveestarter	eggGroups	Undiscovered
vaporeon	types	Water
vaporeon	abilities	Water Absorb
vaporeon	abilities	Hydration
vaporeon	eggGroups	Field
jolteon	types	Electric
jolteon	abilities	Volt Absorb
jolteon	abilities	Quick Feet
jolteon	eggGroups	Field
flareon	types	Fire
flareon	abilities	Flash Fire
flareon	abilities	Guts
flareon	eggGroups	Field
porygon	types	Normal
porygon	abilities	Trace
porygon	abilities	Download
porygon	abilities	Analytic
porygon	eggGroups	Mineral
omanyte	types	Rock
omanyte	types	Water
omanyte	abilities	Swift Swim
omanyte	abilities	Shell Armor
omanyte	abilities	Weak Armor
omanyte	eggGroups	Water 1
omanyte	eggGroups	Water 3
omastar	types	Rock
omastar	types	Water
omastar	abilities	Swift Swim
omastar	abilities	Shell Armor
omastar	abilities	Weak Armor
omastar	eggGroups	Water 1
omastar	eggGroups	Water 3
kabuto	types	Rock
kabuto	types	Water
kabuto	abilities	Swift Swim
kabuto	abilities	Battle Armor
kabuto	abilities	Weak Armor
kabuto	eggGroups	Water 1
kabuto	eggGroups	Water 3
kabutops	types	Rock
kabutops	types	Water
kabutops	abilities	Swift Swim
kabutops	abilities	Battle Armor
kabutops	abilities	Weak Armor
kabutops	eggGroups	Water 1
kabutops	eggGroups	Water 3
aerodactyl	types	Rock
aerodactyl	types	Flying
aerodactyl	abilities	Rock Head
aerodactyl	abilities	Pressure
aerodactyl	abilities	Unnerve
aerodactyl	eggGroups	Flying
aerodactylmega	types	Rock
aerodactylmega	types	Flying
aerodactylmega	abilities	Tough Claws
aerodactylmega	eggGroups	Flying
snorlax	types	Normal
snorlax	abilities	Immunity
snorlax	abilities	Thick Fat
snorlax	abilities	Gluttony
snorlax	eggGroups	Monster
articuno	types	Ice
articuno	types	Flying
articuno	abilities	Pressure
articuno	abilities	Snow Cloak
articuno	eggGroups	Undiscovered
